,Assay_name,Assay_type,Description,l1,l2,l3,l4,Source,Note
164,T219,BioChemical,Muscarinic acetylcholine receptor M3,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor
165,T220,BioChemical,Dopamine D5 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor
166,T221,BioChemical,GABA receptor beta-2 subunit,Ion channel,Ligand-gated ion channel,GABA-A receptor,,Chembl,ion channel  lgic  gabaa
167,T222,BioChemical,Glutamate [NMDA] receptor subunit epsilon 2,Ion channel,Ligand-gated ion channel,Ionotropic glutamate receptor,NMDA receptor,Chembl,ion channel  lgic  glut  nmda
168,T223,BioChemical,Ryanodine receptor 3,Ion channel,Ligand-gated ion channel,Ryanodine receptor,,Chembl,ion channel  lgic  ryr
169,T224,BioChemical,Vitamin k epoxide reductase complex subunit 1 isoform 1,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
170,T226,BioChemical,Beta-3 adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
171,T227,BioChemical,Serotonin 2b (5-HT2b) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
172,T229,BioChemical,Ig epsilon chain C region,Secreted protein,,,,Chembl,secreted
173,T232,BioChemical,Lipoprotein lipase,Enzyme,,,,Chembl,enzyme
174,T233,BioChemical,T-cell surface glycoprotein CD3 epsilon chain,Membrane receptor,,,,Chembl,membrane receptor
175,T234,BioChemical,Insulin-like growth factor I receptor,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  insr
176,T235,BioChemical,Leukocyte elastase,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
177,T236,BioChemical,Neprilysin,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m13
178,T237,BioChemical,Leukotriene A4 hydrolase,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m1
179,T238,BioChemical,Stem cell growth factor receptor,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  pdgfr
180,T240,BioChemical,Retinoic acid receptor gamma,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group B,Chembl,transcription factor  nuclear receptor  nr1  nr1b  nr1b3
181,T241,BioChemical,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,Enzyme,,,,Chembl,enzyme
182,T242,BioChemical,Aldose reductase,Enzyme,,,,Chembl,enzyme
183,T243,BioChemical,Aminopeptidase N,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m1
184,T244,BioChemical,Atrial natriuretic peptide receptor A,Enzyme,Lyase,Guanylate cyclase,Receptor guanylate cyclase,Chembl,enzyme  lyase  guanylate cyclase  receptor guanylate cyclase
185,T245,BioChemical,Renal dipeptidase,Enzyme,Protease,Metallo protease,Metallo protease MJ clan,Chembl,enzyme  protease  metallo  mj  m19
186,T246,BioChemical,Thromboxane A2 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor
187,T247,BioChemical,Endothelin receptor ET-B,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  endothelin receptor
188,T248,BioChemical,Thromboxane-A synthase,Enzyme,Cytochrome P450,Cytochrome P450 family 5,Cytochrome P450 family 5A,Chembl,enzyme  cytochrome p450  cyp_5  cyp_5a  cyp_5a1
189,T249,BioChemical,Endothelin receptor ET-A,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  endothelin receptor
190,T250,BioChemical,Neurokinin 1 receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neurokinin receptor
191,T251,BioChemical,Platelet activating factor receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  paf
192,T252,BioChemical,Adenosine A2a receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor
193,T259,BioChemical,Cannabinoid CB2 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  cannabinoid receptor
194,T260,BioChemical,Thyrotropin-releasing hormone receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neuropeptide receptor
195,T261,BioChemical,Prostanoid EP1 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor
196,T262,BioChemical,Prostanoid EP4 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor
197,T265,BioChemical,Thrombopoietin receptor,Membrane receptor,,,,Chembl,membrane receptor
198,T266,BioChemical,Retinoid X receptor gamma,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group B,Chembl,transcription factor  nuclear receptor  nr2  nr2b  nr2b3
199,T267,BioChemical,Vesicular amine transporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC18 family of vesicular amine transporters,Chembl,transporter  electrochemical  slc  slc18
200,T270,BioChemical,Retinoic acid receptor beta,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group B,Chembl,transcription factor  nuclear receptor  nr1  nr1b  nr1b2
201,T271,BioChemical,Thyroid hormone receptor beta-1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group A,Chembl,transcription factor  nuclear receptor  nr1  nr1a  nr1a2
202,T272,BioChemical,Ornithine decarboxylase,Enzyme,Lyase,,,Chembl,enzyme  lyase
203,T275,BioChemical,Retinoid X receptor alpha,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group B,Chembl,transcription factor  nuclear receptor  nr2  nr2b  nr2b1
204,T276,BioChemical,Phosphodiesterase 4A,Enzyme,Phosphodiesterase,Phosphodiesterase 4,Phosphodiesterase 4A,Chembl,enzyme  phosphodiesterase  pde_4  pde_4a
205,T277,BioChemical,Retinoid X receptor beta,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group B,Chembl,transcription factor  nuclear receptor  nr2  nr2b  nr2b2
206,T278,BioChemical,Adenosine A2b receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor
207,T279,BioChemical,Serotonin 1f (5-HT1f) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
208,T280,BioChemical,Adenosine A3 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor
209,T282,BioChemical,Calcium sensing receptor,Membrane receptor,Family C G protein-coupled receptor,Ion receptor (family C GPCR),Calcium sensing receptor,Chembl,membrane receptor  7tm3  ion  calcium sensing receptor  calcium sensing receptor
210,T283,BioChemical,Succinate semialdehyde dehydrogenase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
211,T285,BioChemical,"Potassium channel, inwardly rectifying, subfamily J, member 11",Ion channel,Voltage-gated ion channel,Potassium channels,Inwardly rectifying potassium channel,Chembl,ion channel  vgc  k  kir
212,T286,BioChemical,Ceramide glucosyltransferase,Enzyme,Transferase,,,Chembl,enzyme  transferase
213,T321,BioChemical,DNA (cytosine-5)-methyltransferase 1,Epigenetic regulator,Writer,DNA methyltransferase,,Chembl,epigenetic regulator  writer  dnmt
214,T322,BioChemical,DNA (cytosine-5)-methyltransferase 3A,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,PWWP domain,Chembl,epigenetic regulator  reader  methyl-lysine  pwwp
215,T322,BioChemical,DNA (cytosine-5)-methyltransferase 3A,Epigenetic regulator,Writer,DNA methyltransferase,,Chembl,epigenetic regulator  writer  dnmt
216,T329,BioChemical,Niemann-Pick C1-like protein 1,Other membrane protein,,,,Chembl,membrane other
217,T10001,BioChemical,Neutral sphingomyelinase,Enzyme,,,,Chembl,enzyme
218,T10003,BioChemical,Cathepsin D,Enzyme,Protease,Aspartic protease,Aspartic protease AA clan,Chembl,enzyme  protease  aspartic  aa  a1a
219,T10004,BioChemical,"Carboxypeptidase N, catalytic subunit",Enzyme,Protease,Metallo protease,Metallo protease MC clan,Chembl,enzyme  protease  metallo  mc  m14b
220,T10007,BioChemical,Cyclin A2,Other cytosolic protein,,,,Chembl,cytosolic other
221,T10009,BioChemical,Orexin receptor 1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  orexin receptor
222,T10012,BioChemical,Pyrimidinergic receptor P2Y6,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor
223,T10015,BioChemical,Cysteinyl leukotriene receptor 2,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  leukotriene receptor
224,T10016,BioChemical,Phosphodiesterase 7B,Enzyme,Phosphodiesterase,Phosphodiesterase 7,Phosphodiesterase 7B,Chembl,enzyme  phosphodiesterase  pde_7  pde_7b
225,T10019,BioChemical,Pepsinogen C,Enzyme,Protease,Aspartic protease,Aspartic protease AA clan,Chembl,enzyme  protease  aspartic  aa  a1a
226,T10020,BioChemical,"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",Enzyme,Phosphatase,Protein Phosphatase,Protein phosphatase regulatory subunit,Chembl,enzyme  phosphatase  protein phosphatase  reg
227,T10028,BioChemical,Proto-oncogene c-JUN,Transcription factor,,,,Chembl,transcription factor
228,T10029,BioChemical,Apolipoprotein B-100,Secreted protein,,,,Chembl,secreted
229,T10032,BioChemical,Bcl2-antagonist of cell death (BAD),Other cytosolic protein,,,,Chembl,cytosolic other
230,T10034,BioChemical,Bradykinin B2 receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  bradykinin receptor
231,T10036,BioChemical,Insulin-like growth factor binding protein 6,Secreted protein,,,,Chembl,secreted
232,T10040,BioChemical,Interleukin-8,Secreted protein,,,,Chembl,secreted
233,T10043,BioChemical,Trypsin II,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
234,T10044,BioChemical,Casein kinase II alpha,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Chembl,enzyme  kinase  protein kinase  other  ck2
235,T10048,BioChemical,ADP-ribosyltransferase,Enzyme,,,,Chembl,enzyme
236,T10049,BioChemical,Nucleoside diphosphate kinase 1,Enzyme,,,,Chembl,enzyme
237,T10050,BioChemical,Nucleoside diphosphate kinase 2,Enzyme,,,,Chembl,enzyme
238,T10051,BioChemical,Death-associated protein kinase 3,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,Chembl,enzyme  kinase  protein kinase  camk  dapk
239,T10052,BioChemical,HLA class II histocompatibility antigen DRB3-1,Surface antigen,,,,Chembl,surface antigen
240,T10054,BioChemical,Glutathione transferase omega 2,Enzyme,,,,Chembl,enzyme
241,T10055,BioChemical,Uridine-cytidine kinase 2,Enzyme,,,,Chembl,enzyme
242,T10056,BioChemical,DNA-dependent protein kinase,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Chembl,enzyme  kinase  protein kinase  atypical  pikk
243,T10068,BioChemical,Kallikrein 2,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
244,T10069,BioChemical,Kallikrein 7,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
245,T10073,BioChemical,Gastric lipase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
246,T10074,BioChemical,Chymase,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
247,T10080,BioChemical,1-acylglycerol-3-phosphate O-acyltransferase alpha,Enzyme,,,,Chembl,enzyme
248,T10083,BioChemical,Serine/threonine protein phosphatase PP1-alpha catalytic subunit,Enzyme,Phosphatase,Protein Phosphatase,Serine/threonine protein phosphatase,Chembl,enzyme  phosphatase  protein phosphatase  ser_thr
249,T10087,BioChemical,Deoxycytidine kinase,Enzyme,,,,Chembl,enzyme
250,T10089,BioChemical,Peptide deformylase mitochondrial,Enzyme,,,,Chembl,enzyme
251,T10092,BioChemical,Dihydropyrimidinase,Enzyme,,,,Chembl,enzyme
252,T10093,BioChemical,Transforming protein p21/H-Ras-1,Other cytosolic protein,,,,Chembl,cytosolic other
253,T10100,BioChemical,Immunoglobulin epsilon Fc receptor,Membrane receptor,,,,Chembl,membrane receptor
254,T10101,BioChemical,Acidic fibroblast growth factor,Secreted protein,,,,Chembl,secreted
255,T10102,BioChemical,5-lipoxygenase activating protein,Other cytosolic protein,,,,Chembl,cytosolic other
256,T10103,BioChemical,Folate receptor alpha,Membrane receptor,,,,Chembl,membrane receptor
257,T10108,BioChemical,Geranylgeranyl pyrophosphate synthetase,Enzyme,,,,Chembl,enzyme
258,T10118,BioChemical,Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains,Transcription factor,,,,Chembl,transcription factor
259,T10120,BioChemical,MAP kinase p38 beta,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,Chembl,enzyme  kinase  protein kinase  cmgc  mapk  p38
260,T10121,BioChemical,Trypsin III,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
261,T10123,BioChemical,Folate transporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC19 family of vitamin transporters,Chembl,transporter  electrochemical  slc  slc19
262,T10124,BioChemical,Alcohol sulfotransferase,Enzyme,,,,Chembl,enzyme
263,T10125,BioChemical,"Thymidine kinase, cytosolic",Enzyme,,,,Chembl,enzyme
264,T10127,BioChemical,Cytosolic phospholipase A2 gamma,Enzyme,,,,Chembl,enzyme
265,T10131,BioChemical,Caspase-3,Enzyme,Protease,Cysteine protease,Cysteine protease CD clan,Chembl,enzyme  protease  cysteine  cd  c14
266,T10132,BioChemical,Cellular retinoic acid-binding protein I,Auxiliary transport protein,Fatty acid binding protein family,,,Chembl,auxiliary transport protein  fabp
267,T10133,BioChemical,Estrogen-related receptor alpha,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group B,Chembl,transcription factor  nuclear receptor  nr3  nr3b  nr3b1
268,T10138,BioChemical,LDL-associated phospholipase A2,Enzyme,,,,Chembl,enzyme
269,T10139,BioChemical,Carbonic anhydrase III,Enzyme,Lyase,,,Chembl,enzyme  lyase
270,T10140,BioChemical,Tyrosine-protein kinase LCK,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  src
